id,name,gender,grade,school,question,resp,rt
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_eeee01/e00.jpg,"{'pic/S3/S3_eeee01/e00_item3.jpg', 'pic/S3/S3_eeee01/e00_item0.jpg'}",4.0847342500055674
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_eeee02/e01.jpg,{'pic/S3/S3_eeee02/e01_item3.jpg'},1.4174909160065
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item01/q02.jpg,"{'pic/S3/S3_item01/q02_item0.jpg', 'pic/S3/S3_item01/q02_item3.jpg', 'pic/S3/S3_item01/q02_item1.jpg', 'pic/S3/S3_item01/q02_item2.jpg', 'pic/S3/S3_item01/q02_item4.jpg'}",3.301557792001404
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item02/q03.jpg,"{'pic/S3/S3_item02/q03_item4.jpg', 'pic/S3/S3_item02/q03_item3.jpg'}",1.5358906250039581
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item03/q04.jpg,"{'pic/S3/S3_item03/q04_item2.jpg', 'pic/S3/S3_item03/q04_item1.jpg'}",1.4562001249869354
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item04/q05.jpg,{'pic/S3/S3_item04/q05_item4.jpg'},0.8502358749974519
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item05/q06.jpg,{'pic/S3/S3_item05/q06_item4.jpg'},0.70249724999303
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item06/q07.jpg,{'pic/S3/S3_item06/q07_item5.jpg'},1.4898166250204667
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item07/q08.jpg,{'pic/S3/S3_item07/q08_item4.jpg'},0.7668697079934645
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item08/q09.jpg,{'pic/S3/S3_item08/q09_item4.jpg'},0.9691675829817541
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item09/q10.jpg,{'pic/S3/S3_item09/q10_item6.jpg'},1.157025499996962
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item10/q11.jpg,{'pic/S3/S3_item10/q11_item6.jpg'},9.357314958004281
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item11/q12.jpg,{'pic/S3/S3_item11/q12_item6.jpg'},0.8577821660146583
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item12/q13.jpg,{'pic/S3/S3_item12/q13_item6.jpg'},3.6069565420039
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item13/q14.jpg,{'pic/S3/S3_item13/q14_item6.jpg'},1.8403468750184402
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item14/q15.jpg,{'pic/S3/S3_item14/q15_item6.jpg'},0.7414657499757595
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item15/q16.jpg,{'pic/S3/S3_item15/q16_item6.jpg'},1.2573609999963082
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item16/q17.jpg,{'pic/S3/S3_item16/q17_item6.jpg'},0.7908914159925189
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item17/q18.jpg,{'pic/S3/S3_item17/q18_item6.jpg'},1.3074046669935342
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item18/q19.jpg,{'pic/S3/S3_item18/q19_item6.jpg'},0.8236813749826979
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item19/q20.jpg,{'pic/S3/S3_item19/q20_item6.jpg'},0.8077552090107929
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item20/q21.jpg,{'pic/S3/S3_item20/q21_item6.jpg'},0.8237587500188965
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item21/q22.jpg,{'pic/S3/S3_item21/q22_item6.jpg'},0.7402951669937465
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item22/q23.jpg,{'pic/S3/S3_item22/q23_item6.jpg'},0.7903455829946324
wzq2023,韋子謙,male,1,教大幼稚園,pic/S3/S3_item23/q24.jpg,{'pic/S3/S3_item23/q24_item6.jpg'},0.7414171250129584
wzq2023,韋子謙,male,1,教大幼稚園,pic/S4/S4_eeee01/e00.jpg,{'pic/S4/S4_eeee01/e00_item1.jpg'},3.0561769170162734
